Movie Title,Imdb Rating
Harold and Maude,7.9
Venus,7.1
The Quiet American,7.0
The Big Lebowski,8.1
Beginners,7.2
Poison Ivy,5.4
Whatever Works,7.1
Entrapment,6.3
Husbands and Wives,7.5
Magnolia,8.0
Indiana Jones and the Last Crusade,8.2
Mr. Peabody and the Mermaid,6.4
First Knight,6.0
Something's Gotta Give,6.7
Eternal Sunshine of the Spotless Mind,8.3
Lost in Translation,7.7
Shopgirl,6.3
Wild Target,6.7
Being There,7.9
"Fort Apache, The Bronx",6.7
Hollywood Ending,6.5
The Mother,6.8
Daddy Long Legs,6.7
Lolita,6.8
Mighty Aphrodite,7.0
Stone,5.4
The Private Lives of Pippa Lee,6.3
Third Person,6.3
Elegy,6.7
A View to a Kill,6.3
Enemy of the State,7.3
For Your Eyes Only,6.7
Funny Face,7.0
Houseboat,6.6
Kindergarten Cop 2,4.4
Sabrina,7.6
A Single Man,7.5
Arbitrage,6.6
Bulworth,6.8
Mank,6.8
Sense and Sensibility,7.7
The Departed,8.5
The Man Who Wasn't There,7.5
A Perfect Murder,6.6
Beat the Devil,6.4
Café Society,6.6
Crazy Heart,7.2
Gangster Squad,6.7
High Noon,8.0
Last Tango in Paris,6.9
Love in the Afternoon,7.1
Magic in the Moonlight,6.5
Freeheld,6.6
"Six Days, Seven Nights",5.9
Tadpole,6.2
The Oranges,5.8
The Squid and the Whale,7.3
You Should Have Left,5.4
As Good as It Gets,7.7
Behind the Candelabra,7.0
Black Mass,6.9
Die Another Day,6.1
High Society,6.9
I Love Trouble,5.3
Indecent Proposal,6.0
Manhattan,7.8
Phantom Thread,7.4
The Color of Money,7.0
Amelia,5.8
Charade,7.9
Chloe,6.3
Dark Passage,7.5
I Married a Witch,7.1
Key Largo,7.7
Knock Knock,4.9
Love Actually,7.6
Mission: Impossible,7.1
Rumor Has It...,5.5
Seabiscuit,7.3
Spun,6.7
State of the Union,7.2
The Big Sleep,7.9
The Misfits,7.2
The Tomb of Ligeia,6.4
To Catch a Thief,7.4
To Have and Have Not,7.8
Vertigo,8.3
World's Greatest Dad,6.9
15 Minutes,6.1
American Gangster,7.8
Beyond the Sea,6.7
Cleaner,6.1
Dark Shadows,6.2
Halloween III: Season of the Witch,5.1
In a Lonely Place,7.9
Live and Let Die,6.7
Moonraker,6.2
Rio Bravo,8.0
Surrogates,6.3
The Horse Whisperer,6.7
The Wrong Man,7.4
A Walk in the Woods,6.3
En kongelig affaere,None
Flight,7.3
Hobbs & Shaw,6.5
Octopussy,6.5
Seeking a Friend for the End of the World,6.7
The Details,6.1
The Duchess,6.9
The First Wives Club,6.4
The Man with the Golden Gun,6.7
The Rum Diary,6.1
Autumn in New York,5.6
Dial M for Murder,8.2
Focus,6.6
Luci del varietà,None
The Mummy,5.4
The Other Woman,6.0
The Prom,5.9
The Royal Tenenbaums,7.6
Up Close & Personal,None
Blame,5.8
Bugsy,6.8
Deja Vu,7.1
Don Jon,6.5
Edge of Tomorrow,7.9
Heat,8.3
It's Complicated,6.5
Just Go with It,6.4
King Arthur,6.3
Licence to Kill,6.6
Modern Times,8.5
My Cousin Vinny,7.6
My Fair Lady,7.8
Rear Window,8.5
Richard III,7.3
Teacher's Pet,7.1
The Bubble,4.7
The Great Dictator,8.4
The Verdict,7.7
Tomorrow Never Dies,6.5
V for Vendetta,8.2
American Beauty,8.3
Get Smart,6.5
Jurassic Park,8.2
Killer Joe,6.7
L.A. Story,6.7
North by Northwest,8.3
Notes on a Scandal,7.4
Oppenheimer,8.6
Patch Adams,6.8
Pushing Tin,6.0
Regarding Henry,6.7
Singin' in the Rain,8.3
The Fifth Element,7.6
The Northman,7.0
The Only Living Boy in New York,6.3
The Spy Who Loved Me,7.0
Training Day,7.7
Virginia,5.4
Water for Elephants,6.9
American Pie,7.0
An American in Paris,7.2
Baby Doll,7.3
Baby Driver,7.6
Birdman,5.1
Buffalo '66,7.4
Firewall,5.8
Gone Girl,8.1
Mother's Day,5.6
Män som hatar kvinnor,None
Skyfall,7.8
Star of Midnight,6.7
Street Kings,6.8
Suburban Girl,5.4
Suicide Squad,5.9
The Bridges of Madison County,7.6
The Lord of the Rings,8.8
The Mothman Prophecies,6.4
The Naked Gun,7.6
Thunderball,6.9
Transcendence,6.2
All I See Is You,5.4
Always Be My Maybe,6.8
Austin Powers in Goldmember,6.2
Avengers: Infinity War,8.4
Big Eyes,7.0
Color of Night,5.2
Guess Who's Coming to Dinner,7.8
Milk,7.5
Once,7.8
Pretty Woman,7.1
Quantum of Solace,6.6
Raising Helen,6.0
Random Hearts,5.3
Replicas,5.4
Runaway Bride,5.6
Rushmore,7.6
Scarface,8.3
St. Vincent,7.2
The Killing of a Chinese Bookie,7.3
The World Is Not Enough,6.4
Tommy Boy,7.1
Yes Man,6.8
Zombieland: Double Tap,6.7
47 Ronin,6.2
An Affair to Remember,7.4
Avengers: Age of Ultron,7.3
Blade Runner,8.1
Closer,7.2
Draft Day,6.8
Free Guy,7.1
GoldenEye,7.2
Green Book,8.2
Husbands,7.1
Joker,8.4
Kindergarten Cop,6.2
Laggies,6.4
Mr. Right,6.3
Oblivion,7.0
Pitfall,7.1
Raging Bull,8.1
Rock of Ages,5.9
Secretary,6.9
Sleepy Hollow,7.3
Spectre,6.8
Stepmom,6.8
Sullivan's Travels,7.9
The Cooler,6.9
The Girl on the Train,6.5
The Girl with the Dragon Tattoo,7.8
The Whole Nine Yards,6.7
The Wolverine,6.7
Trees Lounge,7.1
A Thousand Words,5.8
American Hustle,7.2
Carol,7.2
Casablanca,8.5
Damage,6.7
I Now Pronounce You Chuck and Larry,None
My Life,6.8
Nights in Rodanthe,6.0
Now You See Me,7.2
Remember the Titans,7.8
Safe Haven,6.6
Scoop,6.6
Sister Act,6.5
The Diary of a Teenage Girl,6.8
The Family Stone,6.3
The Living Daylights,6.7
The Lost City,6.1
The Other Boleyn Girl,6.7
The Prestige,8.5
The Raven,6.4
The Sand Pebbles,7.5
The Wolf of Wall Street,8.2
Troy,7.3
Unfaithful,6.7
What Lies Beneath,6.6
Why Him?,6.2
Analyze This,6.7
Angel Heart,7.2
Casino,8.2
Concussion,7.1
Home Again,5.8
Liberal Arts,6.7
Music and Lyrics,6.5
Once Upon a Time in Hollywood,7.6
Private Parts,6.9
Serena,5.4
Sex and the City,5.7
Silver Linings Playbook,7.7
The American,6.3
The Gift,6.7
The Lover,6.8
The Reader,7.6
The Whole Truth,6.2
Working Girl,6.8
